Store_Name,Address,City,Zip_Code,New_Store_Hours,Senior_Hours,Details_on_Senior_Hours__days_t,Curbside_Pick_Up,ObjectId,New_closed,New_opening
Fair Line Food Center,16520 W WARREN,Detroit,48228,10-5,No,No,No,61,1587085200000,1587042000000
Honey Bee La Colmena,2443 BAGLEY AVE,Detroit,48216,9-7 instead of 8-8,No,No,unknown,62,1587078000000,1587042000000
Aldi,15001 WOODWARD,Highland Park,48203,9AM-8PM,unknown,unknown,unknown,63,1587081600000,1587042000000
Save-a-Lot,3681 GRATIOT AVE,Detroit,48207,9AM-8PM,unknown,unknown,unknown,64,1587081600000,1587042000000
Aldi,14708 MACK AVE,Detroit,48215,9am-7pm,Yes,Tuesdays and Thursdays from 8:30am-9:30am,No,65,1587078000000,1587042000000
King Cole Foods,40 CLAIRMOUNT ST,Detroit,48202,9am - 6pm,Yes,8am - 9am,No,66,1587074400000,1587042000000
Grace Food Supermarket - Highland Park,11825 WOODWARD AVE,Highland Park,48203,9AM-6PM,unknown,unknown,unknown,67,1587074400000,1587042000000
Livernois Supermarket,13230 LIVERNOIS AVE,Detroit,48238,10-7,Yes,First hour of opening,No,68,1587085200000,1587042000000
Saturn Super Foods,20221 JOY RD,Detroit,48228,unknown,No,No,Yes,69,14400000,14400000
SEAWAY MARKETPLACE,18330 W Chicago St,DETROIT,48228,unknown,No,No,No,70,14400000,14400000
Save-a-Lot,8000 SCHAEFER HIGHWAY,Detroit,48228,unknown,unknown,unknown,unknown,71,14400000,14400000
Kit Kat Supermarket,8330 HARPER,Detroit,48213,unknown,unknown,unknown,unknown,72,14400000,14400000
Gratiot Central Market,"1429 Gratiot Ave, Detroit, MI 48207",,48207,unknown,unknown,unknown,unknown,73,14400000,14400000
Meijer,21431 Grand River,DETROIT,48219,unknown,Yes,Tues/Thurs 7am-8am,No,74,14400000,14400000
